source_id,source_category
355,
356,
357,Raffinaderij
358,
359,STEG
360,Industrie
361,
362,
363,
364,
365,STEG
366,
367,Industrie
368,Industrie
369,
370,
371,
372,
373,
374,
375,Industrie
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,Industrie
387,
388,Industrie
389,
390,Industrie
391,
392,Industrie
393,
394,
395,
396,Industrie
397,Industrie
398,BMC
399,
400,Industrie
401,Industrie
402,
403,Industrie
404,Industrie
405,STEG
406,
407,Industrie
408,
409,
410,
411,STEG
412,STEG
413,Industrie
414,Industrie
415,STEG
416,STEG
417,Industrie
418,Industrie
419,Industrie
420,AVI
421,Industrie
422,Industrie
423,Industrie
424,
425,Industrie
426,
427,Industrie
428,
429,
430,Industrie
431,
432,Industrie
433,
434,
435,STEG
436,STEG
437,STEG
438,Industrie
439,
440,
441,
442,
443,
444,Gasmotor
445,Industrie
446,Industrie
447,Industrie
448,Industrie
449,
450,
451,
452,
453,AVI
454,AVI
455,Industrie
456,
457,
458,
459,
460,
461,
462,
463,
464,
465,
466,
467,Industrie
468,
469,Industrie
470,
471,
472,Industrie
473,
474,Gasturbine
475,Industrie
476,
477,
478,
479,
480,
481,
482,Industrie
483,
484,Gasturbine
485,Gasturbine
486,STEG
487,STEG
488,STEG
489,
490,
491,
492,
493,
494,
495,
496,Industrie
497,
498,Industrie
499,
500,Gasturbine
501,
502,Industrie
503,STEG
504,Industrie
505,
506,Industrie
507,Industrie
508,AVI
509,Industrie
510,Industrie
511,Industrie
512,AVI
513,Industrie
514,Industrie
515,STEG
516,Industrie
517,Industrie
518,Raffinaderij
519,Industrie
520,
521,
522,Industrie
523,
524,
525,
526,
527,
528,
529,
530,
531,Industrie
532,STEG
533,
534,
535,AVI
536,
537,
538,
539,
540,
541,
542,Industrie
543,Industrie
544,
545,
546,
547,
548,Industrie
549,
550,Industrie
551,
552,
553,
554,
555,
556,Industrie
557,Industrie
558,Industrie
559,
560,
561,
562,Industrie
563,Industrie
564,Industrie
565,Gasturbine
566,
567,
568,STEG
569,AVI
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,Geothermie
599,Geothermie
600,BioWKK
601,BioWKK
602,Industrie
603,Gasturbine
604,Gasturbine
605,Industrie
606,Industrie
607,BMC
608,BMC
609,
610,
611,
612,
613,Gasmotor
614,Industrie
615,Industrie
616,Industrie
617,STEG
618,Gasmotor
619,Industrie
620,
621,BMC
622,
623,BMC
624,BMC
625,BMC
626,BMC
627,AVI
628,Geothermie
629,Geothermie
630,Geothermie
631,Geothermie
632,Geothermie
633,Geothermie
634,Geothermie
635,Geothermie
636,Geothermie
637,Geothermie
638,Geothermie
639,Geothermie
640,Geothermie
641,Geothermie
642,Geothermie
643,STEG
644,Hulpketel
645,Hulpketel
646,Hulpketel
647,Hulpketel
648,BMC
649,BMC
